Sequence (User can ignore),360VOS ID,Target,Split,Muptiple,360VOT ID,IV(illumination variation),BC(background clutter),DEF(deformable target),MB(motion blur),CM(camera motion),ROT(rotation),POC(partial occlusion),FOC(full occlusion),ARC(aspect ratio change),SV(scale variation),FM(fast motion),LR(low resolution),HR(high resolution),SA(stitching artifact),CB(cross border),FMS(fast motion on the sphere),LFoV(large FoV),LV(latitude variant),HL(high latitude),LD(large distortion
lnh53i6RqQc_0-30_1-50,001,bear,test,,,,1,1,,,1,1,,1,1,,1,,,,,,,,
b4b4quSdHqY_0-00_1-20,002,bird,test,,,,1,1,,,1,,1,1,1,1,1,,,1,1,,1,1,1
F4AKfhSQgPI_0-01_1-36,003,bird,test,,,,,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1
3XO8Mp3FE64_start_0-39,004,boat,test,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,,,
j6q9n6dco8I_2-40_end,005,brand,test,,,,1,,,1,,1,1,1,1,1,1,,,1,1,,1,1,1
akgvHPe04k8_10-10_10-30,006,building,test,,,,,,,1,1,,,1,1,,,1,,1,1,,1,1,1
u1Y30SIRt14,007,building,test,,,,1,,,1,1,1,,1,1,1,,,,1,1,,,,1
xPatL6XLhTE_0-00_0-46,008,building,test,,,,,,,1,,,,,1,,,1,,,1,,,,
fXkXWC9hQD4_0-13_0-46,009,car,test,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,,,1
jbA4oEHleg8_0-12_1-06,010,car,test,,,,1,,,,1,,1,1,1,1,1,,,1,1,,,,
mGD6f4j15BA_1-05_1-50,011,pickup truck,test,,,,1,,,1,,1,,1,1,1,,,,1,1,,,,
PN-lY_IJdE0_0-26_1-12,012,pickup truck,test,,,,1,,,1,1,1,,1,1,1,1,1,,1,1,,1,,1
pxlF_jPSZWY_0-02_0-27,013,car,test,,,1,,,,1,1,1,,1,1,,,1,,,1,1,,,1
QQ_n4Az3bhg_0-52_1-45,014,van,test,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,,,
ZfFu1O92Hg0_4-05_5-35,015,van,test,,,1,1,,,1,,1,1,1,1,,1,1,,,1,,1,1,1
neLc4pydMO4_0-30_01-40,016,hiker,test,,,1,,1,,,1,,,1,1,,,1,,,1,1,1,1,1
wj5ZR8kz3A8,017,cloud,test,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1
AnXmN5hkZaM_0-00_0-55,018,dog,test,,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
Jc9SUVHC18o_0-15_0-33,019,dog,test,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,
udoXcTm00MU_0-58_2-17,020,dog,test,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bQi-K9NOQHA_start_0-52,021,drone,test,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,
tQq5kP-8j1I_1-57_3-00,022,drone,test,,,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1
2bpICIClAIg_01-53_02-40,023,elephant,test,,,,1,1,,,1,1,1,1,1,,1,1,,,1,,,,
mlOiXMvMaZo_0-11_2-00,024,elephant,test,,,,,1,,,1,1,,1,1,,1,,,,,1,,,1
S5ClOF69Cv8_0-04_1-12,025,elephant,test,,,1,1,1,,,1,1,1,1,1,,1,1,1,,,1,,,1
fV1jfJToxdw_0-36_1-50,026,F1 car,test,,,1,,,,1,,1,1,1,1,,1,1,,,1,1,,,1
