sequence,domain,n_frames,scene_tags,ODTrack_AUC,ODTrack_SR,ODTrack_FPS,SUTrack-T224_AUC,SUTrack-T224_SR,SUTrack-T224_FPS,SUTrack-B224_AUC,SUTrack-B224_SR,SUTrack-B224_FPS,UETrack_AUC,UETrack_SR,UETrack_FPS,LoRAT_AUC,LoRAT_SR,LoRAT_FPS,ODTrack-ft-v4-ep1_AUC,ODTrack-ft-v4-ep1_SR,ODTrack-ft-v4-ep1_FPS,ODTrack-ft-v4-ep4_AUC,ODTrack-ft-v4-ep4_SR,ODTrack-ft-v4-ep4_FPS,ODTrack-ft-ep6_AUC,ODTrack-ft-ep6_SR,ODTrack-ft-ep6_FPS,ODTrack-ft-ep7_AUC,ODTrack-ft-ep7_SR,ODTrack-ft-ep7_FPS,best_method,best_AUC
train_real/seq_0001,train_real,1637,,0.7856,1.0000,18.8,0.8266,1.0000,48.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8266
train_real/seq_0002,train_real,2256,scale,0.6226,0.8652,23.1,0.7505,0.9344,50.1,0.6196,0.7871,28.4,0.7212,0.9370,53.0,0.7553,0.9277,9.3,0.6046,0.8466,13.4,0.6120,0.8683,13.4,0.6002,0.8461,14.4,0.6030,0.8461,15.9,lorat,0.7553
train_real/seq_0003,train_real,2210,scale,0.8769,0.9746,23.5,0.8910,0.9964,49.7,0.8847,0.9991,27.8,0.9079,0.9968,54.1,0.9165,0.9968,9.4,0.7624,0.9665,15.9,0.7783,0.9647,12.8,0.7494,0.9588,14.2,0.7650,0.9656,15.4,lorat,0.9165
train_real/seq_0004,train_real,963,scale;hard;drift,0.3179,0.2380,24.7,0.4602,0.3898,47.3,0.2925,0.1694,27.2,0.5994,0.5728,53.5,0.7455,0.9979,9.0,0.3113,0.1809,16.5,0.3150,0.1871,13.1,0.2907,0.1476,14.5,0.3199,0.1913,15.4,lorat,0.7455
train_real/seq_0005,train_real,835,scale,0.6053,0.6715,25.0,0.5816,0.5456,50.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6053
train_real/seq_0006,train_real,920,scale,0.6480,0.7301,24.9,0.5847,0.7106,39.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6480
train_real/seq_0007,train_real,2165,scale,0.4489,0.6325,25.0,0.5411,0.7157,49.8,0.6533,0.7739,27.8,0.2304,0.2617,53.5,0.2332,0.2691,8.9,0.4249,0.6140,15.5,0.4377,0.6269,13.9,0.4181,0.6140,15.2,0.4206,0.6163,15.5,sutrack_b224,0.6533
train_real/seq_0008,train_real,1791,small;seam;scale,0.5292,0.6536,25.5,0.4712,0.5832,40.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5292
train_real/seq_0009,train_real,5738,seam,0.5638,0.7272,22.9,0.5896,0.7751,45.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5896
train_real/seq_0010,train_real,5755,seam;scale;hard;drift,0.0766,0.0052,11.7,0.0725,0.0049,18.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.0766
train_real/seq_0011,train_real,5530,seam;scale,0.6866,0.8971,23.9,0.6777,0.8634,45.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6866
train_real/seq_0012,train_real,5480,scale,0.5775,0.7848,23.3,0.5893,0.8025,43.0,0.6133,0.8525,28.7,0.5693,0.7518,46.3,0.6107,0.8443,8.9,0.6299,0.8113,16.6,0.6569,0.8673,13.7,0.6264,0.8065,14.4,0.6377,0.8443,14.6,ft_v4_ep4,0.6569
train_real/seq_0013,train_real,5604,small;scale;absent;hard;drift,0.3300,0.3484,25.1,0.3365,0.3484,46.6,0.3374,0.3484,28.3,0.3414,0.3467,45.9,0.3230,0.3484,8.3,0.3389,0.3484,14.7,0.3371,0.3484,17.7,0.3408,0.3484,18.1,0.3401,0.3484,15.7,uetrack,0.3414
train_real/seq_0014,train_real,6184,seam;scale,0.7105,0.9392,25.6,0.6539,0.8515,42.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7105
train_real/seq_0015,train_real,1368,large;seam;absent;hard;drift,0.2524,0.1111,9.9,0.2420,0.0654,26.2,0.2246,0.0700,22.1,0.2020,0.0472,12.9,0.2396,0.1020,8.6,0.2253,0.1187,7.0,0.2206,0.1294,8.1,0.2274,0.1355,7.8,0.2218,0.1294,7.4,baseline,0.2524
train_real/seq_0016,train_real,2487,polar;seam;hard;drift,0.0595,0.0000,10.0,0.3892,0.3801,41.9,0.2261,0.1541,27.2,0.2461,0.1408,29.1,0.0945,0.0000,9.5,0.4293,0.4276,15.3,0.2072,0.1046,12.7,0.1980,0.1078,12.1,0.2161,0.1267,14.4,ft_v4_ep1,0.4293
train_real/seq_0017,train_real,1397,seam,0.8573,0.9871,25.5,0.8315,0.9842,42.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8573
train_real/seq_0018,train_real,3788,seam;scale,0.5450,0.6773,27.3,0.6300,0.7774,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6300
train_real/seq_0019,train_real,5003,small;seam;scale,0.8186,0.9904,27.9,0.7363,0.9048,40.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8186
train_real/seq_0020,train_real,12246,scale,0.6658,0.8515,26.4,0.5040,0.6094,40.8,0.6866,0.8676,25.6,0.5331,0.6655,35.9,0.5384,0.6709,8.0,0.6968,0.8521,20.0,0.6990,0.8524,20.1,0.6966,0.8514,17.0,0.7064,0.8667,15.0,ft_ep7,0.7064
train_real/seq_0021,train_real,1655,,0.8797,0.9927,28.8,0.8131,0.9794,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8797
train_real/seq_0022,train_real,15311,seam;scale,0.5114,0.5992,27.8,0.4920,0.5897,39.7,0.1544,0.1295,25.9,0.5145,0.5898,43.7,0.7075,0.8709,7.8,0.5399,0.6302,17.6,0.5687,0.6679,17.8,0.5071,0.5828,16.9,0.5767,0.6736,19.8,lorat,0.7075
train_real/seq_0023,train_real,3748,,0.6065,0.8543,26.7,0.5080,0.7203,38.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6065
train_real/seq_0024,train_real,3214,scale,0.7236,0.8636,29.8,0.7513,0.9265,40.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7513
train_real/seq_0025,train_real,895,large;scale,0.5688,0.7416,26.3,0.5760,0.7371,38.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5760
train_real/seq_0026,train_real,29457,seam;scale;absent;hard;drift,0.2022,0.2034,25.6,0.5478,0.6584,39.6,0.4920,0.5902,25.7,0.4848,0.5718,38.0,0.5485,0.6697,8.2,0.1216,0.0704,12.8,0.5015,0.5927,16.4,0.5198,0.6177,16.6,0.5219,0.6208,11.9,lorat,0.5485
train_real/seq_0027,train_real,793,large;seam;fast;hard;drift,0.0942,0.0063,11.5,0.1071,0.0126,22.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.1071
train_real/seq_0028,train_real,3373,seam,0.7412,0.9766,27.1,0.7455,0.9801,39.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7455
train_real/seq_0029,train_real,1282,small,0.7642,0.9859,31.5,0.7304,0.9750,42.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7642
train_real/seq_0030,train_real,4771,seam;scale;drift,0.4980,0.4610,25.2,0.5058,0.4589,40.0,0.3108,0.0870,25.9,0.5026,0.4078,37.2,0.5138,0.6530,8.5,0.3357,0.0820,13.2,0.3393,0.0845,14.0,0.3466,0.0860,11.1,0.3394,0.0836,12.3,lorat,0.5138
train_real/seq_0031,train_real,5816,large;fast;absent,0.6438,0.7671,13.5,0.3842,0.3973,26.0,0.3692,0.4110,18.6,0.4344,0.4932,11.5,0.1970,0.2055,8.2,0.3516,0.4932,4.9,0.4018,0.5068,6.8,0.3979,0.5068,6.4,0.3705,0.4932,4.9,baseline,0.6438
train_real/seq_0032,train_real,3143,scale;absent;hard;drift,0.2894,0.3169,28.3,0.3850,0.4593,41.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.3850
train_real/seq_0033,train_real,8775,large;hard;drift,0.3192,0.1303,10.5,0.3334,0.2550,29.8,0.2484,0.1347,23.7,0.3165,0.2276,14.0,0.2785,0.1297,8.0,0.3425,0.1508,8.0,0.3475,0.1549,6.9,0.3533,0.1651,7.5,0.3481,0.1604,4.3,ft_ep6,0.3533
train_real/seq_0034,train_real,5002,small;scale;absent,0.7263,0.8238,30.7,0.6649,0.8135,41.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7263
train_real/seq_0035,train_real,3773,small;scale;absent,0.6826,0.8257,29.8,0.6512,0.7898,42.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6826
train_real/seq_0036,train_real,1943,scale,0.7950,0.9969,30.9,0.7621,0.9691,43.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7950
train_real/seq_0037,train_real,3163,seam;scale;hard;drift,0.1010,0.0398,10.1,0.1022,0.0398,18.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.1022
train_real/seq_0038,train_real,4194,small;seam;scale,0.6599,0.8510,26.9,0.4925,0.6043,44.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6599
train_real/seq_0039,train_real,3676,small;scale;absent,0.6653,0.7984,28.5,0.5629,0.6887,39.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6653
train_real/seq_0040,train_real,3794,small;scale,0.8253,0.9477,29.1,0.7322,0.8751,43.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8253
train_real/seq_0041,train_real,3781,large;seam;hard;drift,0.0769,0.0000,7.2,0.0827,0.0087,13.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.0827
train_real/seq_0042,train_real,4772,large;seam;hard;drift,0.2479,0.0398,12.4,0.1853,0.0027,14.8,0.2085,0.0115,13.7,0.2309,0.0381,10.4,0.2309,0.1017,9.1,0.2286,0.0172,3.5,0.2148,0.0054,3.5,0.2338,0.0254,3.5,0.2266,0.0103,3.5,baseline,0.2479
train_real/seq_0043,train_real,2751,seam;scale;hard;drift,0.2012,0.1040,15.5,0.1460,0.0371,27.4,0.3418,0.3091,24.5,0.1826,0.0745,12.5,0.1193,0.0069,9.0,0.1570,0.0764,8.9,0.1688,0.0800,10.0,0.1673,0.0767,9.9,0.1709,0.0876,9.1,sutrack_b224,0.3418
train_real/seq_0044,train_real,3907,scale,0.7997,0.9711,30.5,0.8579,0.9964,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8579
train_real/seq_0045,train_real,3328,scale,0.8691,0.9994,30.4,0.8697,0.9994,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8697
train_real/seq_0046,train_real,2089,small;scale,0.8760,1.0000,31.3,0.8606,0.9966,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8760
train_real/seq_0047,train_real,3250,scale,0.7319,0.9754,30.2,0.8333,0.9782,42.5,0.8766,0.9896,28.6,0.8486,0.9849,52.0,0.8628,0.9909,9.2,0.8145,0.9886,17.1,0.8043,0.9877,15.2,0.8105,0.9820,15.6,0.8169,0.9886,15.9,sutrack_b224,0.8766
train_sim/seq_0001,train_sim,1236,fast;scale,0.6989,0.9773,28.6,0.6890,0.9673,42.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6989
train_sim/seq_0002,train_sim,1254,scale;absent,0.6544,0.7582,30.4,0.7611,0.9132,43.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7611
train_sim/seq_0003,train_sim,1306,scale,0.7852,0.9854,30.9,0.7625,0.9471,41.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7852
