sequence,domain,n_frames,n_valid,absence_rate,median_fov_h,median_fov_v,fov_area_p05,fov_area_p95,scale_ratio_p95_p05,polar_fraction,seam_fraction,angular_step_p50_deg,angular_step_p95_deg,scene_tags,manual_video_label,baseline_auc,baseline_sr,baseline_fps,baseline_scored_frames,baseline_mean_frame_iou,baseline_mean_frame_dual_iou,lost_segment_count,longest_lost_segment,first_lost_frame,lost_frame_fraction,sutrack_t224_auc,sutrack_t224_sr,sutrack_t224_fps,sutrack_t224_auc_delta,sutrack_b224_auc,sutrack_b224_sr,sutrack_b224_fps,sutrack_b224_auc_delta,uetrack_auc,uetrack_sr,uetrack_fps,uetrack_auc_delta,lorat_auc,lorat_sr,lorat_fps,lorat_auc_delta,ft_v4_ep1_auc,ft_v4_ep1_sr,ft_v4_ep1_fps,ft_v4_ep1_auc_delta,ft_v4_ep4_auc,ft_v4_ep4_sr,ft_v4_ep4_fps,ft_v4_ep4_auc_delta,ft_ep6_auc,ft_ep6_sr,ft_ep6_fps,ft_ep6_auc_delta,ft_ep7_auc,ft_ep7_sr,ft_ep7_fps,ft_ep7_auc_delta,best_method,best_auc,best_auc_delta
train_real/seq_0001,train_real,1637,1637,0.0,40.807,69.701,1958.3312522,3723.5942212,1.9014118357233454,0.0,0.0,0.09516611912331153,0.27718491874350604,,,0.7855978577249971,1.0,18.751691494263557,1636,0.7991279169740034,0.7991279169740034,0,0,-1,0.0,0.826551402957271,1.0,48.43215377629991,0.0409535452322739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sutrack_t224,0.826551402957271,0.0409535452322739
train_real/seq_0002,train_real,2256,2256,0.0,32.7605,33.447500000000005,240.79910124999998,3321.507345,13.793686636527678,0.0,0.0,0.3670141386402716,1.3273042357934353,scale,,0.6226375250765495,0.8651884700665189,23.086074339144346,2255,0.6288869017628083,0.6288869017628083,43,55,260,0.13481152993348117,0.7504804138950479,0.9343680709534368,50.095981416609845,0.12784288881849848,0.6195755464048147,0.7871396895787139,28.407300968380497,-0.003061978671734744,0.7211910041178333,0.9370288248337029,52.987557019721564,0.09855347904128386,0.755337345581248,0.9277161862527716,9.335086509685512,0.13269982050469853,0.6046246436490339,0.8465631929046563,13.383358972652186,-0.01801288142751556,0.6120367437440608,0.8682926829268293,13.440844890407067,-0.010600781332488651,0.6001900538485906,0.8461197339246119,14.378183238546843,-0.02244747122795887,0.6029775102945835,0.8461197339246119,15.904013521841458,-0.019660014781965995,lorat,0.755337345581248,0.13269982050469853
train_real/seq_0003,train_real,2210,2210,0.0,39.7385,65.547,555.7059891,5035.2233805,9.060948557806356,0.0,0.06923076923076923,0.3281743748988182,0.8022777634988271,scale,,0.8769104744659293,0.974649162516976,23.518524694460034,2209,0.8940975527584836,0.9056890838273896,14,12,1365,0.025350837483023993,0.8910302011252667,0.9963784517881394,49.71380890002626,0.014119726659337362,0.8847356054236997,0.9990946129470348,27.836745350670387,0.007825130957770376,0.9079092026126881,0.996831145314622,54.10578890376648,0.030998728146758858,0.9165319364504517,0.996831145314622,9.364153062466066,0.03962146198452243,0.7624221259350277,0.9665006790402897,15.947170881249491,-0.11448834853090162,0.7783095130311065,0.9646899049343595,12.75440340084623,-0.09860096143482278,0.7493586841708163,0.958804889090086,14.237613324438493,-0.127551790295113,0.7650089460863566,0.9655952919873246,15.3785881420521,-0.11190152837957268,lorat,0.9165319364504517,0.03962146198452243
train_real/seq_0004,train_real,963,963,0.0,14.799,31.111,213.8013057,2724.1295338,12.741407377663176,0.0,0.04880581516095535,0.8068098474580411,2.9011500108240464,scale;hard;drift,,0.31793881793881795,0.23804573804573806,24.689657570215786,962,0.300726848037488,0.300726848037488,13,165,49,0.761954261954262,0.46020196020196025,0.3898128898128898,47.269407743229536,0.1422631422631423,0.2924957924957925,0.16943866943866945,27.182293443136423,-0.025443025443025458,0.5994455994455993,0.5727650727650727,53.4999771543301,0.2815067815067813,0.7454707454707454,0.997920997920998,8.984451560072445,0.4275319275319275,0.31125631125631126,0.18087318087318088,16.543799159320624,-0.006682506682506695,0.31496881496881496,0.18711018711018712,13.100211192230091,-0.002970002970002994,0.2906642906642907,0.14760914760914762,14.49228815304135,-0.027274527274527227,0.3198693198693199,0.19126819126819128,15.355987495968451,0.0019305019305019266,lorat,0.7454707454707454,0.4275319275319275
train_real/seq_0005,train_real,835,835,0.0,14.518,22.816,163.6707774,3034.8077313,18.542147715735112,0.0,0.0,0.4599703397651109,1.550098637204526,scale,,0.6053442959917781,0.6714628297362111,25.012024521390106,834,0.6112612774775481,0.6112612774775481,11,105,49,0.328537170263789,0.5816489665410529,0.5455635491606715,50.87911719690113,-0.023695329450725167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,baseline,0.6053442959917781,0.0
train_real/seq_0006,train_real,920,920,0.0,51.9285,25.6465,689.5171377500001,4929.763002099997,7.149587344828829,0.075,0.0,0.8093892276588257,4.526498378252151,scale,,0.6480128504067568,0.7301414581066377,24.886024335517135,919,0.6539405691095846,0.6545896272175294,12,192,433,0.26985854189336234,0.584745323591896,0.7105549510337323,39.450895673940614,-0.06326752681486081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,baseline,0.6480128504067568,0.0
train_real/seq_0007,train_real,2165,2164,0.0004618937644341736,27.073999999999998,40.7375,139.75163125,1720.6190575,12.311978344081046,0.0,0.019408502772643253,0.3181815469229076,1.244127998242758,scale,,0.44889153072232135,0.6324549237170597,24.953763390128618,2163,0.43835707116609085,0.43846865685918635,20,648,389,0.36754507628294036,0.5411135327917574,0.7156726768377254,49.82702158031358,0.0922220020694361,0.6532593619972261,0.7739251040221914,27.845906235180696,0.20436783127490477,0.23038989058406537,0.2616736014794267,53.461100436235945,-0.218501640138256,0.23320784624529428,0.26907073509015256,8.928566262999677,-0.21568368447702707,0.42489487704466905,0.613962089690245,15.503110647091198,-0.023996653677652302,0.43766373863461244,0.6269070735090153,13.920834628808775,-0.01122779208770891,0.4180701406776303,0.613962089690245,15.167893854724602,-0.030821390044691033,0.4206018977170156,0.6162736939435969,15.516422175340205,-0.028289633005305737,sutrack_b224,0.6532593619972261,0.20436783127490477
train_real/seq_0008,train_real,1791,1791,0.0,8.148,15.186,44.2199685,423.369776,9.574176336195265,0.07202680067001675,0.10664433277498604,0.6021606221453171,3.107092522338139,small;seam;scale,,0.5291566906092046,0.6536312849162011,25.466418996455065,1790,0.5239469098239993,0.5260236172687675,17,399,529,0.3463687150837989,0.4712423516892791,0.5832402234636872,40.343325264300965,-0.05791433891992548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,baseline,0.5291566906092046,0.0
train_real/seq_0009,train_real,5738,5738,0.0,33.668,62.908,1330.40320655,4631.71736079999,3.4814388134338268,0.012547926106657371,0.24172185430463577,0.6502858876363041,1.9773210950651579,seam,,0.563817160121849,0.727209342862123,22.908173100626065,5737,0.564817037880813,0.6110230116835231,128,351,195,0.2727906571378769,0.5896312159167311,0.7751438033815583,45.63520924324651,0.02581405579488205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sutrack_t224,0.5896312159167311,0.02581405579488205
train_real/seq_0010,train_real,5755,5755,0.0,27.201,49.332,514.4763958999999,2395.537380600002,4.656262949458285,0.0682884448305821,0.1944396177237185,0.7731165102874525,2.0001463474446353,seam;scale;hard;drift,,0.07660095668437693,0.005213764337851929,11.743270463949457,5754,0.0479458171359942,0.08519891664642537,4,5698,6,0.9947862356621481,0.07250442756177897,0.004866180048661801,18.439922706726534,-0.004096529122597961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,baseline,0.07660095668437693,0.0
