tracker,sequence,n_frames,sr,sr_dual,auc,auc_dual,fps
baseline,0001,251,0.588000,0.596000,0.547048,0.555238,74.13
baseline,0002,854,0.127784,0.127784,0.150003,0.150003,39.07
baseline,0003,740,0.259811,0.339648,0.255107,0.328049,70.25
baseline,0004,690,0.026125,0.031930,0.083143,0.086461,64.90
baseline,0005,483,0.929461,0.929461,0.820095,0.820095,63.42
baseline,0006,931,0.298925,0.298925,0.286585,0.286585,62.33
baseline,0007,661,0.104545,0.104545,0.130375,0.130375,74.02
baseline,0008,1457,0.587912,0.587912,0.509125,0.509125,40.41
baseline,0009,825,0.188107,0.188107,0.187933,0.187933,29.63
baseline,0010,687,0.450437,0.450437,0.386783,0.386783,45.05
erpwrap,0001,251,0.984000,0.988000,0.880571,0.884000,73.58
erpwrap,0002,854,0.050410,0.050410,0.097918,0.097974,15.33
erpwrap,0003,740,0.751015,0.784844,0.641343,0.673239,69.49
erpwrap,0004,690,0.033382,0.033382,0.082314,0.082314,65.99
erpwrap,0005,483,0.929461,0.929461,0.830962,0.830962,61.55
erpwrap,0006,931,0.298925,0.298925,0.286585,0.286585,59.31
erpwrap,0007,661,0.104545,0.104545,0.130375,0.130375,72.32
erpwrap,0008,1457,0.567308,0.567308,0.491856,0.491856,45.70
erpwrap,0009,825,0.188107,0.188107,0.188222,0.188222,13.18
erpwrap,0010,687,0.335277,0.335277,0.299667,0.299667,9.54
