tracker,sequence,n_frames,sr,sr_dual,auc,auc_dual,fps,first_frame_linf,result_path
FUSION,0001,251,0.988,0.988,0.9102857142857143,0.9102857142857143,nan,1.4285706129157916e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0001/results.txt
FUSION,0002,854,0.2966002344665885,0.2966002344665885,0.3334449840897672,0.3334449840897672,nan,4.395603809825843e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0002/results.txt
FUSION,0003,740,0.7875507442489851,0.8308525033829499,0.7041046459179071,0.7553321734647852,nan,3.3333321880490985e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0003/results.txt
FUSION,0004,690,0.10449927431059507,0.10449927431059507,0.13587670191443776,0.13587670191443776,nan,2.0720699467347004e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0004/results.txt
FUSION,0005,483,0.946058091286307,0.946058091286307,0.8395573997233748,0.8395573997233748,nan,2.0202014638925903e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0005/results.txt
FUSION,0006,931,0.2989247311827957,0.2989247311827957,0.28970814132104455,0.28970814132104455,nan,0.0,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0006/results.txt
FUSION,0007,661,0.8757575757575757,0.8757575757575757,0.7168109668109668,0.7168109668109668,nan,0.0,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0007/results.txt
FUSION,0008,1457,0.6559065934065934,0.6559065934065934,0.5737506541077969,0.5738487702773417,nan,4.263324626663234e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0008/results.txt
FUSION,0009,825,0.19174757281553398,0.19174757281553398,0.18001618122977348,0.18001618122977348,nan,3.2203388400375843e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0009/results.txt
FUSION,0010,687,0.8075801749271136,0.8075801749271136,0.6609745939192003,0.6609745939192003,nan,3.333334461785853e-07,/data/projects/instan/runs/grt360_20260809/fusion_conf_10/0010/results.txt
